feedType,day,weight,watertemp,pH,salinity,DO,Ammonia,NitrousAcid,Nitrate,Mg/Ca,waterHardness,feeds
1,1,0.005,26.4,7.3,18,7.6,0.25,0,0,3.5,4.8,18
1,2,0.0073,27.4,7.3,18,7.3,0.25,0,0,3.5,5.6,24
1,3,0.0106,27,7.2,18,7.3,5,0,0,3.5,6,35
1,4,0.0139,27,7,17.8,9.4,4,0,0,3.4,7.6,13
1,5,0.0172,28,7.8,17.8,7.2,3.5,0,0,3.4,8,0
1,6,0.0205,27.9,8.2,17.9,7.6,4,0,0,3.4,7.8,14
1,7,0.0238,28.1,8.2,17.8,7.7,4,0,0,3.4,8,22
1,8,0.0271,28.2,8.1,17.7,7.7,4,0,0,3.4,8,29
1,9,0.0304,28.8,8.1,17.7,7.6,4,0,0,3.4,7.8,29
1,10,0.0337,28.8,8.1,17.7,7.6,4,0,0,3.4,7.8,19
1,11,0.037,28.8,8.1,17.7,7.6,4,0,0,3.4,7.8,2
1,12,0.04,28.2,8.3,17.8,7.7,4,0,0,3.4,7.8,7
1,13,0.049,27.5,7.6,18,7.9,4,0,0,3.4,7.8,40
1,14,0.058,25.6,8.4,15.8,8.5,0.25,0,0,3.8125,3.3,47
1,15,0.067,26.5,8.4,15.8,8.5,0.25,0,0,3.875,3.6,83
1,16,0.076,27.1,8.3,15.8,8.3,0.25,0,0,4.2,4.5,123
1,17,0.085,27.8,8.3,15.8,8.2,0.5,0,0,4.2,4.2,137
1,18,0.094,27.7,8.3,15.8,8.2,0.5,0.25,0,4.2,4.2,150
1,19,0.103,26.6,8.2,15.7,8.4,2,0.5,0,4,4.8,143
1,20,0.112,26.6,8.2,15.6,8.4,2,1,0,4,4.8,133
1,21,0.121,26.7,8.1,15.3,8.4,2,1,0,4,5,150
1,22,0.13,26.4,8,15.3,8.3,2,1,0,3.5625,5,160
1,23,0.147,26.8,8,15.1,8.3,2,1,0,3.5625,5,187
1,24,0.164,26.8,7.9,15.1,8.2,3,2,5,3.5625,5,210
1,25,0.18,26.8,7.8,15.1,8.2,3,2,5,3.5625,5,230
1,26,0.1895,26.8,7.6,15.1,8.1,1,2,160,3.5625,4.8,250
1,27,0.199,26.6,7.9,16.1,8.2,0.25,2,5,3.5625,4.8,270
1,28,0.2085,25.7,7.8,15.8,8.4,0.25,1,140,3.5625,5,293
1,29,0.218,26.4,7.6,15.8,8.1,0.25,1.5,10,3.5625,4.8,320
1,30,0.2204,26.4,7.7,16.3,8.2,0.25,1,20,3.8,4.2,310
1,31,0.2228,26.4,7.7,16.3,8.2,0.25,1,20,3.8,4.2,347
1,32,0.2252,26.4,7.7,16.3,8.2,0.25,1,20,3.8,4.2,373
1,33,0.2276,27.9,7.5,16.2,7.6,0.25,0.25,10,3.375,4.2,193
1,34,0.23,26.4,7.7,16.4,8.4,0.25,0.5,20,3.4,3.6,213
1,35,0.28,26.9,7.4,16.1,8.3,0,0.5,40,3.375,3.1,447
1,36,0.28,26.3,7.3,16.2,8.5,0,0.5,40,3.375,4.2,427
1,37,0.28,25.8,7.6,16.7,8.4,0,0.5,40,3.166666667,4.2,427
1,38,0.29,25.8,7.6,16.7,8.4,0,0.5,40,3.166666667,4.2,453
1,39,0.3,25.8,7.6,16.7,8.4,0,0.5,40,3.166666667,4.2,367
1,40,0.31,27,7.3,16.9,7.9,0.25,0.25,20,3.375,3.8,200
1,41,0.32,25.7,7.5,17.1,8.2,0,0.25,10,3.6,3.6,300
1,42,0.33,27.1,7.4,17.1,8.1,0.25,0.5,20,3.6,3.6,300
1,43,0.34,26.9,8,17.2,8,0,0.5,20,3.6,3.6,163
1,44,0.35,27.1,8,17.1,8.1,0,0.5,20,3.8,5.6,427
1,45,0.375,27.1,8,17.1,8.1,0,0.5,20,3.8,5.6,467
1,46,0.4,27.1,8,17.1,8.1,0,0.5,20,3.8,5.6,480
1,47,0.425,27,7.9,17.2,8,0.25,1,20,3.529411765,5.9,240
1,48,0.45,27.4,7.8,17.3,7.9,0.25,1,10,3.529411765,5.9,373
1,49,0.475,27.3,7.8,17.4,8,0.25,1,10,3.529411765,5.9,133
1,50,0.5,27.5,7.8,17.4,8.1,0.25,1,10,3.529411765,5.9,133
1,51,0.525,25.7,7.7,17.4,8.4,0.25,1,15,3.529411765,5.8,33
2,1,0.005,26.5,8.5,19.9,8.5,0.25,0,0,3.1,6.2,65
2,2,0.011875,27,8.5,19.9,8.4,0.25,0,0,3.1,6.2,65
2,3,0.01775,26,8.5,19.9,8.5,0.25,0.25,0,3.1,6,60
2,4,0.023625,26.6,8.5,19.9,8.5,0.25,0.25,0,3.1,6,70
2,5,0.0295,27,8.3,19.9,8.4,0.25,0.25,0,3.1,6,80
2,6,0.035375,27.4,8.3,19.9,8.3,0.5,1,0,3.1,6,56
2,7,0.04125,27.7,8.3,19.9,8.3,0.5,1,10,3.1,6,49
2,8,0.047125,27,8.3,20,8.3,0.5,3,15,3.1,6,49
2,9,0.053,25.9,8.3,20,8.45,0.5,5,30,3.1,6,53
2,10,0.058875,26,8.3,20,8.5,0.5,7,30,3.1,6,50
2,11,0.06475,25.5,8.3,20,8.5,0.25,10,10,3.1,6,75
2,12,0.070625,25.5,8.3,20,8.5,0.25,10,10,3.1,6,38
2,13,0.0765,25.6,8.3,20,8.5,0.25,10,10,3.1,6,80
2,14,0.082375,25.7,8.3,20,8.4,0.25,10,10,3.1,5.9,85
2,15,0.08825,25.6,8.2,20,8.6,0.25,10,10,3.1,5.9,95
2,16,0.094125,25.3,8.2,20,8.6,0.25,10,20,3.1,5.9,90
2,17,0.1,25.5,8.2,20,8.6,0.25,10,20,3.1,5.9,100
2,18,0.1375,25.5,8.2,20,8.5,0.25,10,20,3.1,5.9,110
2,19,0.175,25.7,8.2,20,8.5,0.25,10,20,3.1,5.9,120
2,20,0.2125,26.2,8.2,20,8.4,0.25,10,40,3.1,5.9,120
2,21,0.25,27.8,8.1,21,8.1,0.25,10,20,3.3,5.9,125
2,22,0.266666667,27.1,8.1,21,8.1,0.25,10,40,3.25,5.9,135
2,23,0.283333333,27.5,8.1,21,8.1,0.25,10,40,3.25,5.9,130
2,24,0.3,27.2,8.1,21,8.1,0.25,10,40,3.25,5.9,140
2,25,0.3575,27.1,8.1,21,8.1,0.25,10,40,3.25,5.9,145
2,26,0.415,26.9,8,21,8.2,0.25,10,40,3.25,5.9,160
2,27,0.4725,26.4,7.9,21,8.1,0.25,10,40,3.25,5.9,170
2,28,0.53,25.7,8.3,21,8.2,0.25,10,40,3.12,9,180
2,29,0.543333333,25.9,8.1,21,8.3,0.25,10,40,3.12,9,195
2,30,0.556666667,25.6,8.3,21,8.3,0.25,10,40,3.12,9,200
2,31,0.57,25.5,8.2,20,8.2,0.25,10,40,3.12,8.7,300
2,32,0.6075,26.4,8.1,20,7.8,0.25,10,20,3.12,8.7,400
2,33,0.645,26.1,8.2,20,8,0.25,3,40,3.12,8.7,400
2,34,0.6825,26,8.1,20,7.9,0.25,1,60,3.12,8,450
2,35,0.72,26.6,8,20,7.6,0.25,1,60,3,7,525
2,36,0.755,26.7,8,20,7.4,0.25,0.5,80,3,7,618
2,37,0.79,26.9,7.9,20,7,0.25,0.5,80,3,7,575
2,38,0.825,26.5,7.9,20,7.4,0.25,0.5,80,3,7,700
2,39,0.85875,27.2,7.8,20,7.2,0.25,0.5,80,3,5,755
2,40,0.8925,28.2,7.9,20,6.6,0.25,0.5,100,3,6.7,690
2,41,0.92625,28.6,7.8,20,6.4,0.25,0.25,100,3,6.2,595
2,42,0.96,27.2,7.9,20,7.1,0,0.25,80,3,6.2,830
2,43,1.1,27.1,7.7,20,7,0.25,0.5,80,3,6.2,525
2,44,1.24,26.7,7.8,20,7.4,0,0.1,80,3,7.2,500
2,45,1.38,26.4,7.8,20,7.6,0,0.1,70,3,7.2,460
2,46,1.585,26.6,7.7,20,7.5,0.25,0,100,3,4.2,520
2,47,1.79,26,7.9,19.5,7.7,0.25,0,90,3,6.2,560
2,48,1.995,26.6,7.8,19.5,7.5,0.25,0,100,3,5.3,450
2,49,2.2,26.4,7.9,18.2,7.6,0,0,100,3,5.6,620
2,50,2.486666667,28,7.8,18.2,7,0,0,100,3,5.6,385
2,51,2.773333333,27.1,7.8,18.2,7.1,0,0,100,3,5.6,640
2,52,3.06,28,7.8,18.2,7.6,0,0,120,3,3.9,350
2,53,3.3,27.5,8,17.8,7.7,0,0,120,3,8.4,375
2,54,3.6,28,7.9,17.6,7.6,0,0,100,3,8.7,250
3,1,0.005,26.1,8.5,16.1,9.9,0.25,0,20,3.428571429,9.8,12
3,2,0.008388889,26.3,8.4,15.9,9.7,0.25,0,20,3.136363636,10.4,42
3,3,0.013777778,26.5,8.3,15.9,9.8,0.5,0,20,3.136363636,10.4,35
3,4,0.019166667,27.7,8.2,16,9.5,0.5,0,20,3.136363636,10.4,35
3,5,0.024555556,27.5,8.2,16,9.4,1,0,30,3.136363636,10.4,40
3,6,0.029944444,26.4,8.1,16,9.6,1,0,20,3.136363636,10.4,40
3,7,0.035333333,26.6,7.9,16,9.5,1,0.5,30,3.136363636,10.4,42
3,8,0.040722222,27.9,8,16,9.4,1,0.5,30,3.136363636,10.4,50
3,9,0.046111111,27.7,8,16,9.4,1,0.5,20,2.869565217,10.1,58
3,10,0.0515,27.5,8.2,16.2,9.3,1,0.25,20,2.869565217,10.1,70
3,11,0.056888889,27.5,8.2,16.1,9.3,1,0.5,20,2.869565217,10.1,72
3,12,0.062277778,27.5,8.2,16.1,9.3,2,0.5,20,3.136363636,12.1,78
3,13,0.067666667,27.7,8.3,16,9.3,2,0.5,20,3.136363636,11.2,90
3,14,0.073055556,27.7,8.2,16.3,9.3,4,0.5,40,3.136363636,12.1,86
3,15,0.078444444,27.3,8.3,16.3,9.3,4,0.5,40,3.136363636,12.1,92
3,16,0.083833333,26.8,8.2,16.5,9.3,4,1,80,3.136363636,12.1,85
3,17,0.089222222,26.9,8.1,16.5,9.2,4,1,80,3.136363636,12.1,100
3,18,0.094611111,27,7.9,16.2,9.1,0.25,20,100,3.136363636,12.1,110
3,19,0.1,27,8,16.2,9.3,0.25,20,70,3.136363636,12.1,140
3,20,0.1325,26.6,8,16.3,9.3,0.25,20,100,3,12.1,158
3,21,0.165,26.3,7.9,16.3,9.3,0.25,20,100,3,12.1,132
3,22,0.1975,26.8,7.8,16.3,9.1,0.25,20,90,3,12.1,150
3,23,0.23,26.5,7.8,16.3,9.2,0.25,20,100,3,12.1,92
3,24,0.243333333,27,7.7,16.2,9.1,0.25,20,90,3,6.7,148
3,25,0.256666667,27.5,7.7,16.3,9,0.25,20,90,3,6.7,158
3,26,0.27,27.2,7.7,16.3,9,0.25,20,90,3.136363636,5.9,150
3,27,0.275,27.1,7.6,15,8.9,0.25,20,90,3.136363636,5.9,230
3,28,0.28,26.6,7.5,14.7,9.1,0.25,20,100,2.64,5.6,252
3,29,0.285,27,7.4,14.3,9.1,0.25,20,110,3,5.3,220
3,30,0.29,26.3,7.2,14,9,0.25,20,110,3,5.3,225
3,31,0.295,26.8,7.2,13.8,8.9,0.25,20,80,3.157894737,3.9,225
3,32,0.3,26.9,7.2,13.6,8.9,0.25,20,110,3.157894737,3.9,235
3,33,0.305,27.5,7,13.6,8.4,0.25,15,160,3.157894737,3.9,240
3,34,0.31,27.7,7.1,13.5,8.5,0.25,15,160,3.157894737,4.5,245
3,35,0.31,27.1,7.2,13.5,8.6,0.25,15,160,3,4.5,250
3,36,0.31,26.9,7.3,13.5,8.4,0.25,20,160,3,7,262
3,37,0.31,26.8,7.7,14,8.6,0.25,20,300,3,7.6,210
4,1,0.003,27,8.5,13.5,7.7,0.25,1,100,3.45,14,12
4,2,0.010611111,26.7,8.5,13.5,7.7,0.25,1,100,3.3,14,42
4,3,0.018222222,26.6,8.5,13.5,7.8,0.25,1,100,3.3,14,34
4,4,0.025833333,27.4,8.5,13.5,7.8,0.25,1,100,3.3,14,36
4,5,0.033444444,27.8,8.5,13.5,7.8,0.25,1,100,3.3,14,38
4,6,0.041055556,27,8.5,13.5,8,0,1,100,3.3,14,38
4,7,0.048666667,27.1,8.5,13.5,8,0,1,100,3.3,14,42
4,8,0.056277778,28.1,8.5,13.5,8,0,1,100,3.3,14,50
4,9,0.063888889,28.1,8.5,13.5,8.1,0.25,1,100,3.315789474,14,58
4,10,0.0715,28,8.5,13.5,8.1,0.25,1,100,3.315789474,14,68
4,11,0.079111111,28.2,8.5,13.5,8.1,0.25,0.5,100,3.315789474,14,72
4,12,0.086722222,28.2,8.4,13.5,8,0.25,0.5,100,3,14,78
4,13,0.094333333,28.2,8.4,13.5,8,0.25,0.5,100,3,14,90
4,14,0.101944444,28,8.4,13.5,8.1,0.25,0.5,100,3.05,14,86
4,15,0.109555556,27.9,8.4,13.5,8,0.25,0.25,90,3.05,14,92
4,16,0.117166667,27.3,8.3,13.5,8,0.25,0.5,100,3,14,84
4,17,0.124777778,27.5,8.3,13.5,8.1,0.25,0.5,100,3.05,14,96
4,18,0.132388889,27.7,8.3,13.5,8.1,0.5,25,100,3.05,14,108
4,19,0.14,27.5,8.2,13.5,8.1,0.25,25,100,3.05,14,138
4,20,0.16,27,8.2,13.5,8,0.25,20,100,3.05,14,156
4,21,0.18,26.8,8.1,13.5,8,0.25,20,90,3.05,14,130
4,22,0.2,27.2,8.1,13.5,7.9,0.25,20,100,3.05,14,152
4,23,0.22,28.2,8,13.5,7.4,0.25,20,100,3.05,14,92
4,24,0.24,27.5,8.1,13.5,8,0.25,20,80,2.857142857,14,144
4,25,0.26,28,8,13.5,7.8,0.25,20,80,2.857142857,14,156
4,26,0.28,27.8,8,13.5,7.8,0.25,20,80,2.863636364,13.2,148
4,27,0.28625,27.6,7.9,13.5,7.6,0.25,20,80,2.863636364,13.2,158
4,28,0.2925,27.3,7.9,13.5,7.6,0.25,20,100,3.15,14,194
4,29,0.29875,27,7.8,13.5,7.6,0.25,20,110,3,9.8,208
4,30,0.305,27,7.7,13.5,7.6,0.25,20,110,3,9.8,212
4,31,0.31125,27.1,7.7,13.5,7.8,0.25,2,110,3.15,8.4,212
4,32,0.3175,27.1,7.6,12.9,7.6,0.25,2,110,3.15,8.4,220
4,33,0.32375,27.6,7.6,12.6,7.6,0.25,0.25,90,3.15,8.4,224
4,34,0.33,27.9,7.6,12.8,7.7,0.25,0.25,110,3.15,7.3,232
4,35,0.33,27.2,7.5,12.7,7.6,0.25,0.25,110,3.15,5.6,236
4,36,0.33,27,7.5,12.6,7.7,0.25,0.25,110,3.15,5,240
4,37,0.33,27,7.5,13,7.7,0.25,0,110,3.15,6.4,183
4,38,0.33,27.4,7.6,13,7.8,0.25,0,110,3.15,6.2,100
5,1,0.005,25.5,8.6,14.5,6.8,0.25,0,100,3,14,0
5,2,0.013,26.1,8.6,14.5,6.8,0.25,0,100,3,14,53
5,3,0.024,25.4,8.4,13.7,6.8,0.25,0.25,100,3,14,50
5,4,0.034,25.8,8.3,13.7,6.9,1,0.5,100,3.166666667,14,67
5,5,0.045,26.6,8.2,13.7,7,1,1,100,3.166666667,14,80
5,6,0.055,25.7,8.2,13.7,6.9,1,1,100,3.166666667,14,93
5,7,0.065,26,8.1,13.8,6.9,0.25,1,100,3.166666667,14,107
5,8,0.076,26.1,8.1,13.8,7,0.25,1,100,3,14,127
5,9,0.086,26.8,8.1,13.8,6.9,0.25,1,100,3,14,140
5,10,0.097,26.3,8.1,13.4,7,0.25,1,100,3,14,147
5,11,0.107,26.5,8,13.4,7,0.25,1,100,3,14,153
5,12,0.119,26.5,8.1,13.8,7.1,0.25,10,100,3,14,153
5,13,0.131,26.2,8.2,13.8,7.2,0.25,10,100,3,14,153
5,14,0.143,25.8,8.2,13.4,7.2,0.25,10,100,3,14,153
5,15,0.155,26,8.1,13.4,7.2,0.25,10,100,3,14,153
5,16,0.16,26.1,8.1,13.4,7.2,0.25,10,100,3,14,153
5,17,0.164,25.9,8.1,13.4,7.2,0.25,10,80,2.842105263,14,153
5,18,0.169,26.4,8.1,13.4,7.2,0.25,10,80,3,14,153
5,19,0.174,27.2,8,13.4,7.1,0.25,20,100,3,13.5,153
5,20,0.18,27.5,8,13.4,7.2,0.25,20,100,3,13.2,153
5,21,0.185,27.2,8.1,13.4,7.2,0.25,20,100,3,12.6,153
5,22,0.191,27.2,8.1,13.4,7.2,0.25,20,100,3,12.3,153
5,23,0.196,27.2,8,13.4,7.1,0.25,20,100,3,12.3,153
5,24,0.202,27.6,8,13.2,7.2,0.25,10,100,3,12.3,257
5,25,0.207,27.8,8,13.3,7.2,0.25,1,100,3,12.3,257
5,26,0.212,28.2,7.9,11.8,7.2,0.25,0.5,100,3,11.8,257
5,27,0.225,28,7.9,11.8,7.2,0.25,0.5,100,3,11.5,257
5,28,0.237,28.2,8,12,7.3,0.25,0.25,100,3,11.5,257
5,29,0.25,27.5,7.9,12,7.4,0.25,0.25,100,3,11.2,257
5,30,0.265,27.7,7.9,12,7.4,0.25,0.25,100,3,11.2,257
5,31,0.28,27.7,7.9,12,7.4,0.25,0.25,100,3,11.2,257
5,32,0.295,28.1,7.8,12,7.4,0.25,0.5,100,3,10,257
5,33,0.31,28,7.9,12,7.4,0.25,0.5,100,3,10,344
5,34,0.333,27.8,7.8,12.2,7.3,0.25,0.25,100,3,8,344
5,35,0.355,28.4,7.8,12,7.2,0.25,0.25,100,2.833333333,9,344
5,36,0.378,28.8,7.8,12,7.3,0.25,0.25,100,3,9,344
